1 ; Grim Lavamancer ; Creature - Human Wizard 1/1 ; R ; Rare ; Michael Sutfin ;  Premium Deck Series: Fire and Lightning
155 ; Swamp ; Basic Land - Swamp ; ; Land ; Mark Tedin ;  Planechase
156 ; Mountain ; Basic Land - Mountain ; ; Land ; Craig Mullins ;  Planechase
157 ; Mountain ; Basic Land - Mountain ; ; Land ; Aleksi Briclot ;  Planechase
158 ; Mountain ; Basic Land - Mountain ; ; Land ; Aleksi Briclot ;  Planechase
159 ; Mountain ; Basic Land - Mountain ; ; Land ; Nils Hamm ;  Planechase
160 ; Mountain ; Basic Land - Mountain ; ; Land ; Mark Tedin ;  Planechase
161 ; Mountain ; Basic Land - Mountain ; ; Land ; Stephan Martiniere ;  Planechase
162 ; Mountain ; Basic Land - Mountain ; ; Land ; Richard Wright ;  Planechase
163 ; Mountain ; Basic Land - Mountain ; ; Land ; Dave Kendall ;  Planechase
164 ; Mountain ; Basic Land - Mountain ; ; Land ; Brandon Kitkouski ;  Planechase
165 ; Forest ; Basic Land - Forest ; ; Land ; John Avon ;  Planechase
166 ; Forest ; Basic Land - Forest ; ; Land ; Craig Mullins ;  Planechase
167 ; Forest ; Basic Land - Forest ; ; Land ; Chippy ;  Planechase
168 ; Forest ; Basic Land - Forest ; ; Land ; Glen Angus ;  Planechase
169 ; Forest ; Basic Land - Forest ; ; Land ; Mark Tedin ;  Planechase
170 ; Battery (Assault/Battery) ; Sorcery ; 3G ; Uncommon ; Ben Thompson ;  Planechase
171 ; Chaos (Order/Chaos) ; Instant ; 2R ; Uncommon ; Tim Hildebrandt ;  Planechase
1 ; Balance ; Sorcery ; 1W ; Mythic Rare ; Randy Gallegos ;  From the Vault: Exiled
2 ; Berserk ; Instant ; G ; Mythic Rare ; Steve Prescott ;  From the Vault: Exiled
3 ; Channel ; Sorcery ; GG ; Mythic Rare ; Rebecca Guay ;  From the Vault: Exiled
4 ; Gifts Ungiven ; Instant ; 3U ; Mythic Rare ; D. Alexander Gregory ;  From the Vault: Exiled
5 ; Goblin Lackey ; Creature - Goblin 1/1 ; R ; Mythic Rare ; Christopher Moeller ;  From the Vault: Exiled
6 ; Kird Ape ; Creature - Ape 1/1 ; R ; Mythic Rare ; Terese Nielsen ;  From the Vault: Exiled
7 ; Lotus Petal ; Artifact ; 0 ; Mythic Rare ; April Lee ;  From the Vault: Exiled
8 ; Mystical Tutor ; Instant ; U ; Mythic Rare ; David O'Connor ;  From the Vault: Exiled
9 ; Necropotence ; Enchantment ; BBB ; Mythic Rare ; Dave Kendall ;  From the Vault: Exiled
10 ; Sensei's Divining Top ; Artifact ; 1 ; Mythic Rare ; Michael Sutfin ;  From the Vault: Exiled
11 ; Serendib Efreet ; Creature - Efreet 3/4 ; 2U ; Mythic Rare ; Matt Stewart ;  From the Vault: Exiled
12 ; Skullclamp ; Artifact - Equipment ; 1 ; Mythic Rare ; Luca Zontini ;  From the Vault: Exiled
13 ; Strip Mine ; Land ; ; Mythic Rare ; John Avon ;  From the Vault: Exiled
14 ; Tinker ; Sorcery ; 2U ; Mythic Rare ; Chris Rahn ;  From the Vault: Exiled
15 ; Trinisphere ; Artifact ; 3 ; Mythic Rare ; Tim Hildebrandt ;  From the Vault: Exiled
1 ; Akroma, Angel of Wrath ; Legendary Creature - Angel 6/6 ; 5WWW ; Mythic Rare ; Chippy ;  Duel Decks: Divine vs. Demonic
2 ; Icatian Priest ; Creature - Human Cleric 1/1 ; W ; Uncommon ; Stephen Tappin ;  Duel Decks: Divine vs. Demonic
3 ; Angelic Page ; Creature - Angel Spirit 1/1 ; 1W ; Common ; Marc Fishman ;  Duel Decks: Divine vs. Demonic
4 ; Charging Paladin ; Creature - Human Knight 2/2 ; 2W ; Common ; Ciruelo ;  Duel Decks: Divine vs. Demonic
5 ; Venerable Monk ; Creature - Human Monk Cleric 2/2 ; 2W ; Common ; D. Alexander Gregory ;  Duel Decks: Divine vs. Demonic
6 ; Angelic Protector ; Creature - Angel 2/2 ; 3W ; Uncommon ; DiTerlizzi ;  Duel Decks: Divine vs. Demonic
7 ; Serra Advocate ; Creature - Angel 2/2 ; 3W ; Uncommon ; Matthew D. Wilson ;  Duel Decks: Divine vs. Demonic
8 ; Sustainer of the Realm ; Creature - Angel 2/3 ; 2WW ; Uncommon ; Mark Zug ;  Duel Decks: Divine vs. Demonic
9 ; Angel of Mercy ; Creature - Angel 3/3 ; 4W ; Uncommon ; Volkan Baga ;  Duel Decks: Divine vs. Demonic
10 ; Serra Angel ; Creature - Angel 4/4 ; 3WW ; Rare ; Greg Staples ;  Duel Decks: Divine vs. Demonic
11 ; Twilight Shepherd ; Creature - Angel 5/5 ; 3WWW ; Rare ; Jason Chan ;  Duel Decks: Divine vs. Demonic
12 ; Luminous Angel ; Creature - Angel 4/4 ; 4WWW ; Rare ; Jason Chan ;  Duel Decks: Divine vs. Demonic
13 ; Reya Dawnbringer ; Legendary Creature - Angel 4/6 ; 6WWW ; Rare ; Matthew D. Wilson ;  Duel Decks: Divine vs. Demonic
14 ; Healing Salve ; Instant ; W ; Common ; Greg & Tim Hildebrandt ;  Duel Decks: Divine vs. Demonic
15 ; Angelsong ; Instant ; 1W ; Common ; Sal Villagran ;  Duel Decks: Divine vs. Demonic
16 ; Otherworldly Journey ; Instant - Arcane ; 1W ; Uncommon ; Vance Kovacs ;  Duel Decks: Divine vs. Demonic
17 ; Pacifism ; Enchantment - Aura ; 1W ; Common ; Matthew D. Wilson ;  Duel Decks: Divine vs. Demonic
18 ; Serra's Boon ; Enchantment - Aura ; 2W ; Uncommon ; Steven Belledin ;  Duel Decks: Divine vs. Demonic
19 ; Angelic Benediction ; Enchantment ; 3W ; Uncommon ; Michael Komarck ;  Duel Decks: Divine vs. Demonic
20 ; Faith's Fetters ; Enchantment - Aura ; 3W ; Common ; Brian Despain ;  Duel Decks: Divine vs. Demonic
21 ; Serra's Embrace ; Enchantment - Aura ; 2WW ; Uncommon ; Zoltan Boros & Gabor Szikszai ;  Duel Decks: Divine vs. Demonic
22 ; Righteous Cause ; Enchantment ; 3WW ; Uncommon ; Scott M. Fischer ;  Duel Decks: Divine vs. Demonic
23 ; Angel's Feather ; Artifact ; 2 ; Uncommon ; Alan Pollack ;  Duel Decks: Divine vs. Demonic
24 ; Marble Diamond ; Artifact ; 2 ; Uncommon ; David Martin ;  Duel Decks: Divine vs. Demonic
25 ; Secluded Steppe ; Land ; ; Common ; Heather Hudson ;  Duel Decks: Divine vs. Demonic
26 ; Plains ; Basic Land - Plains ; ; Land ; Rob Alexander ;  Duel Decks: Divine vs. Demonic
27 ; Plains ; Basic Land - Plains ; ; Land ; Rob Alexander ;  Duel Decks: Divine vs. Demonic
28 ; Plains ; Basic Land - Plains ; ; Land ; Rob Alexander ;  Duel Decks: Divine vs. Demonic
29 ; Plains ; Basic Land - Plains ; ; Land ; Rob Alexander ;  Duel Decks: Divine vs. Demonic
30 ; Lord of the Pit ; Creature - Demon 7/7 ; 4BBB ; Mythic Rare ; Chippy ;  Duel Decks: Divine vs. Demonic
31 ; Abyssal Gatekeeper ; Creature - Horror 1/1 ; 1B ; Common ; Mark Tedin ;  Duel Decks: Divine vs. Demonic
32 ; Foul Imp ; Creature - Imp 2/2 ; BB ; Common ; Kev Walker ;  Duel Decks: Divine vs. Demonic
33 ; Daggerclaw Imp ; Creature - Imp 3/1 ; 2B ; Uncommon ; Pete Venters ;  Duel Decks: Divine vs. Demonic
34 ; Dusk Imp ; Creature - Imp 2/1 ; 2B ; Common ; Pete Venters ;  Duel Decks: Divine vs. Demonic
35 ; Overeager Apprentice ; Creature - Human Minion 1/2 ; 2B ; Common ; Ray Lago ;  Duel Decks: Divine vs. Demonic
36 ; Stinkweed Imp ; Creature - Imp 1/2 ; 2B ; Common ; Nils Hamm ;  Duel Decks: Divine vs. Demonic
37 ; Soot Imp ; Creature - Imp 1/2 ; 1BB ; Uncommon ; Jesper Ejsing ;  Duel Decks: Divine vs. Demonic
38 ; Demon's Jester ; Creature - Imp 2/2 ; 3B ; Common ; Pete Venters ;  Duel Decks: Divine vs. Demonic
39 ; Souldrinker ; Creature - Spirit 2/2 ; 3B ; Uncommon ; Dermot Power ;  Duel Decks: Divine vs. Demonic
40 ; Abyssal Specter ; Creature - Specter 2/3 ; 2BB ; Uncommon ; Michael Sutfin ;  Duel Decks: Divine vs. Demonic
41 ; Cackling Imp ; Creature - Imp 2/2 ; 2BB ; Common ; Matt Thompson ;  Duel Decks: Divine vs. Demonic
42 ; Fallen Angel ; Creature - Angel 3/3 ; 3BB ; Rare ; Matthew D. Wilson ;  Duel Decks: Divine vs. Demonic
43 ; Reiver Demon ; Creature - Demon 6/6 ; 4BBBB ; Rare ; Brom ;  Duel Decks: Divine vs. Demonic
44 ; Kuro, Pitlord ; Legendary Creature - Demon Spirit 9/9 ; 6BBB ; Rare ; Jon Foster ;  Duel Decks: Divine vs. Demonic
45 ; Dark Ritual ; Instant ; B ; Common ; Clint Langley ;  Duel Decks: Divine vs. Demonic
46 ; Duress ; Sorcery ; B ; Common ; Steven Belledin ;  Duel Decks: Divine vs. Demonic
47 ; Unholy Strength ; Enchantment - Aura ; B ; Common ; Terese Nielsen ;  Duel Decks: Divine vs. Demonic
48 ; Cruel Edict ; Sorcery ; 1B ; Uncommon ; Michael Sutfin ;  Duel Decks: Divine vs. Demonic
49 ; Demonic Tutor ; Sorcery ; 1B ; Uncommon ; Scott Chou ;  Duel Decks: Divine vs. Demonic
50 ; Dark Banishing ; Instant ; 2B ; Common ; Dermot Power ;  Duel Decks: Divine vs. Demonic
51 ; Oni Possession ; Enchantment - Aura ; 2B ; Uncommon ; Aleksi Briclot ;  Duel Decks: Divine vs. Demonic
52 ; Barter in Blood ; Sorcery ; 2BB ; Uncommon ; Parente ;  Duel Decks: Divine vs. Demonic
53 ; Breeding Pit ; Enchantment ; 3B ; Uncommon ; Adrian Smith ;  Duel Decks: Divine vs. Demonic
54 ; Promise of Power ; Sorcery ; 2BBB ; Rare ; Kev Walker ;  Duel Decks: Divine vs. Demonic
55 ; Corrupt ; Sorcery ; 5B ; Uncommon ; Dave Allsop ;  Duel Decks: Divine vs. Demonic
56 ; Consume Spirit ; Sorcery ; X1B ; Uncommon ; Matt Thompson ;  Duel Decks: Divine vs. Demonic
57 ; Demon's Horn ; Artifact ; 2 ; Uncommon ; Alan Pollack ;  Duel Decks: Divine vs. Demonic
58 ; Barren Moor ; Land ; ; Common ; Heather Hudson ;  Duel Decks: Divine vs. Demonic
59 ; Swamp ; Basic Land - Swamp ; ; Land ; Mark Tedin ;  Duel Decks: Divine vs. Demonic
60 ; Swamp ; Basic Land - Swamp ; ; Land ; Mark Tedin ;  Duel Decks: Divine vs. Demonic
61 ; Swamp ; Basic Land - Swamp ; ; Land ; John Avon ;  Duel Decks: Divine vs. Demonic
62 ; Swamp ; Basic Land - Swamp ; ; Land ; Vance Kovacs ;  Duel Decks: Divine vs. Demonic
1 ; Jace Beleren ; Planeswalker - Jace 3 ; 1UU ; Mythic Rare ; Kev Walker ;  Duel Decks: Jace vs. Chandra
2 ; Martyr of Frost ; Creature - Human Wizard 1/1 ; U ; Common ; Wayne England ;  Duel Decks: Jace vs. Chandra
3 ; Fathom Seer ; Creature - Illusion 1/3 ; 1U ; Common ; Ralph Horsley ;  Duel Decks: Jace vs. Chandra
4 ; Voidmage Apprentice ; Creature - Human Wizard 1/1 ; 1U ; Common ; Jim Nelson ;  Duel Decks: Jace vs. Chandra
5 ; Wall of Deceit ; Creature - Wall 0/5 ; 1U ; Uncommon ; John Avon ;  Duel Decks: Jace vs. Chandra
6 ; Willbender ; Creature - Human Wizard 1/2 ; 1U ; Uncommon ; Eric Peterson ;  Duel Decks: Jace vs. Chandra
7 ; Bottle Gnomes ; Artifact Creature - Gnome 1/3 ; 3 ; Uncommon ; Ben Thompson ;  Duel Decks: Jace vs. Chandra
8 ; Man-o'-War ; Creature - Jellyfish 2/2 ; 2U ; Common ; Jon J Muth ;  Duel Decks: Jace vs. Chandra
9 ; Ophidian ; Creature - Snake 1/3 ; 2U ; Common ; Cliff Nielsen ;  Duel Decks: Jace vs. Chandra
10 ; Fledgling Mawcor ; Creature - Beast 2/2 ; 3U ; Uncommon ; Kev Walker ;  Duel Decks: Jace vs. Chandra
11 ; Waterspout Djinn ; Creature - Djinn 4/4 ; 2UU ; Uncommon ; Thomas Gianni ;  Duel Decks: Jace vs. Chandra
12 ; Mulldrifter ; Creature - Elemental 2/2 ; 4U ; Common ; Eric Fortune ;  Duel Decks: Jace vs. Chandra
13 ; Air Elemental ; Creature - Elemental 4/4 ; 3UU ; Uncommon ; Kev Walker ;  Duel Decks: Jace vs. Chandra
14 ; Guile ; Creature - Elemental Incarnation 6/6 ; 3UUU ; Rare ; Zoltan Boros & Gabor Szikszai ;  Duel Decks: Jace vs. Chandra
15 ; Riftwing Cloudskate ; Creature - Illusion 2/2 ; 3UU ; Uncommon ; Carl Critchlow ;  Duel Decks: Jace vs. Chandra
16 ; Spire Golem ; Artifact Creature - Golem 2/4 ; 6 ; Common ; Daren Bader ;  Duel Decks: Jace vs. Chandra
17 ; Athersnipe ; Creature - Elemental 4/4 ; 5U ; Common ; Zoltan Boros & Gabor Szikszai ;  Duel Decks: Jace vs. Chandra
18 ; Brine Elemental ; Creature - Elemental 5/4 ; 4UU ; Uncommon ; Stephen Tappin ;  Duel Decks: Jace vs. Chandra
19 ; Quicksilver Dragon ; Creature - Dragon 5/5 ; 4UU ; Rare ; Ron Spencer ;  Duel Decks: Jace vs. Chandra
20 ; Errant Ephemeron ; Creature - Illusion 4/4 ; 6U ; Common ; Luca Zontini ;  Duel Decks: Jace vs. Chandra
21 ; Ancestral Vision ; Sorcery ; ; Rare ; Mark Poole ;  Duel Decks: Jace vs. Chandra
22 ; Mind Stone ; Artifact ; 2 ; Uncommon ; Adam Rex ;  Duel Decks: Jace vs. Chandra
23 ; Daze ; Instant ; 1U ; Common ; Matthew D. Wilson ;  Duel Decks: Jace vs. Chandra
24 ; Counterspell ; Instant ; UU ; Common ; Jason Chan ;  Duel Decks: Jace vs. Chandra
25 ; Repulse ; Instant ; 2U ; Common ; Aaron Boyd ;  Duel Decks: Jace vs. Chandra
26 ; Fact or Fiction ; Instant ; 3U ; Uncommon ; Matt Cavotta ;  Duel Decks: Jace vs. Chandra
27 ; Gush ; Instant ; 4U ; Common ; Kev Walker ;  Duel Decks: Jace vs. Chandra
28 ; Condescend ; Instant ; XU ; Common ; Ron Spears ;  Duel Decks: Jace vs. Chandra
29 ; Terrain Generator ; Land ; ; Uncommon ; Alan Pollack ;  Duel Decks: Jace vs. Chandra
30 ; Island ; Basic Land - Island ; ; Land ; John Avon ;  Duel Decks: Jace vs. Chandra
31 ; Island ; Basic Land - Island ; ; Land ; Scott Bailey ;  Duel Decks: Jace vs. Chandra
32 ; Island ; Basic Land - Island ; ; Land ; Donato Giancola ;  Duel Decks: Jace vs. Chandra
33 ; Island ; Basic Land - Island ; ; Land ; Christopher Moeller ;  Duel Decks: Jace vs. Chandra
34 ; Chandra Nalaar ; Planeswalker - Chandra 6 ; 3RR ; Mythic Rare ; Kev Walker ;  Duel Decks: Jace vs. Chandra
35 ; Flamekin Brawler ; Creature - Elemental Warrior 0/2 ; R ; Common ; Daren Bader ;  Duel Decks: Jace vs. Chandra
36 ; Fireslinger ; Creature - Human Wizard 1/1 ; 1R ; Common ; Jeff Reitz ;  Duel Decks: Jace vs. Chandra
37 ; Soulbright Flamekin ; Creature - Elemental Shaman 2/1 ; 1R ; Common ; Kev Walker ;  Duel Decks: Jace vs. Chandra
38 ; Pyre Charger ; Creature - Elemental Warrior 1/1 ; RR ; Uncommon ; Mark Zug ;  Duel Decks: Jace vs. Chandra
39 ; Slith Firewalker ; Creature - Slith 1/1 ; RR ; Uncommon ; Justin Sweet ;  Duel Decks: Jace vs. Chandra
40 ; Flamewave Invoker ; Creature - Goblin Mutant 2/2 ; 2R ; Uncommon ; Dave Dorman ;  Duel Decks: Jace vs. Chandra
41 ; Inner-Flame Acolyte ; Creature - Elemental Shaman 2/2 ; 1RR ; Common ; Ron Spears ;  Duel Decks: Jace vs. Chandra
42 ; Flametongue Kavu ; Creature - Kavu 4/2 ; 3R ; Uncommon ; Pete Venters ;  Duel Decks: Jace vs. Chandra
43 ; Furnace Whelp ; Creature - Dragon 2/2 ; 2RR ; Uncommon ; Matt Cavotta ;  Duel Decks: Jace vs. Chandra
44 ; Rakdos Pit Dragon ; Creature - Dragon 3/3 ; 2RR ; Rare ; Kev Walker ;  Duel Decks: Jace vs. Chandra
45 ; Ingot Chewer ; Creature - Elemental 3/3 ; 4R ; Common ; Kev Walker ;  Duel Decks: Jace vs. Chandra
46 ; Oxidda Golem ; Artifact Creature - Golem 3/2 ; 6 ; Common ; Greg Staples ;  Duel Decks: Jace vs. Chandra
47 ; Chartooth Cougar ; Creature - Cat Beast 4/4 ; 5R ; Common ; Tony Szczudlo ;  Duel Decks: Jace vs. Chandra
48 ; Hostility ; Creature - Elemental Incarnation 6/6 ; 3RRR ; Rare ; Omar Rayyan ;  Duel Decks: Jace vs. Chandra
49 ; Firebolt ; Sorcery ; R ; Common ; Ron Spencer ;  Duel Decks: Jace vs. Chandra
50 ; Seal of Fire ; Enchantment ; R ; Common ; Christopher Moeller ;  Duel Decks: Jace vs. Chandra
51 ; Incinerate ; Instant ; 1R ; Common ; Steve Prescott ;  Duel Decks: Jace vs. Chandra
52 ; Magma Jet ; Instant ; 1R ; Uncommon ; Justin Sweet ;  Duel Decks: Jace vs. Chandra
53 ; Flame Javelin ; Instant ; {2/R}{2/R}{2/R} ; Uncommon ; Trevor Hairsine ;  Duel Decks: Jace vs. Chandra
54 ; Cone of Flame ; Sorcery ; 3RR ; Uncommon ; Chippy ;  Duel Decks: Jace vs. Chandra
55 ; Fireblast ; Instant ; 4RR ; Common ; Michael Danza ;  Duel Decks: Jace vs. Chandra
56 ; Fireball ; Sorcery ; XR ; Uncommon ; Dave Dorman ;  Duel Decks: Jace vs. Chandra
57 ; Demonfire ; Sorcery ; XR ; Rare ; Greg Staples ;  Duel Decks: Jace vs. Chandra
58 ; Keldon Megaliths ; Land ; ; Uncommon ; Philip Straub ;  Duel Decks: Jace vs. Chandra
59 ; Mountain ; Basic Land - Mountain ; ; Land ; Rob Alexander ;  Duel Decks: Jace vs. Chandra
60 ; Mountain ; Basic Land - Mountain ; ; Land ; Christopher Moeller ;  Duel Decks: Jace vs. Chandra
61 ; Mountain ; Basic Land - Mountain ; ; Land ; Greg Staples ;  Duel Decks: Jace vs. Chandra
62 ; Mountain ; Basic Land - Mountain ; ; Land ; Mark Tedin ;  Duel Decks: Jace vs. Chandra
1 ; Bladewing the Risen ; Legendary Creature - Zombie Dragon 4/4 ; 3BBRR ; Rare ; Kev Walker ;  From the Vault: Dragons
2 ; Bogardan Hellkite ; Creature - Dragon 5/5 ; 6RR ; Rare ; Scott M. Fischer ;  From the Vault: Dragons
3 ; Draco ; Artifact Creature - Dragon 9/9 ; 16 ; Rare ; Sam Wood ;  From the Vault: Dragons
4 ; Dragon Whelp ; Creature - Dragon 2/3 ; 2RR ; Rare ; Steven Belledin ;  From the Vault: Dragons
5 ; Dragonstorm ; Sorcery ; 8R ; Rare ; Kev Walker ;  From the Vault: Dragons
6 ; Ebon Dragon ; Creature - Dragon 5/4 ; 5BB ; Rare ; Donato Giancola ;  From the Vault: Dragons
7 ; Form of the Dragon ; Enchantment ; 4RRR ; Rare ; Daarken ;  From the Vault: Dragons
8 ; Hellkite Overlord ; Creature - Dragon 8/8 ; 4BRRG ; Rare ; Justin Sweet ;  From the Vault: Dragons
9 ; Kokusho, the Evening Star ; Legendary Creature - Dragon Spirit 5/5 ; 4BB ; Rare ; Tsutomu Kawade ;  From the Vault: Dragons
10 ; Nicol Bolas ; Legendary Creature - Elder Dragon 7/7 ; 2UUBBRR ; Rare ; D. Alexander Gregory ;  From the Vault: Dragons
11 ; Niv-Mizzet, the Firemind ; Legendary Creature - Dragon Wizard 4/4 ; 2UURR ; Rare ; Todd Lockwood ;  From the Vault: Dragons
12 ; Rith, the Awakener ; Legendary Creature - Dragon 6/6 ; 3WRG ; Rare ; Todd Lockwood ;  From the Vault: Dragons
13 ; Shivan Dragon ; Creature - Dragon 5/5 ; 4RR ; Rare ; Justin Sweet ;  From the Vault: Dragons
14 ; Thunder Dragon ; Creature - Dragon 5/5 ; 5RR ; Rare ; Chris Rahn ;  From the Vault: Dragons
15 ; Two-Headed Dragon ; Creature - Dragon 4/4 ; 4RR ; Rare ; Sam Wood ;  From the Vault: Dragons
1 ; Ambush Commander ; Creature - Elf 2/2 ; 3GG ; Special ; Lucio Parrillo ;  Duel Decks: Elves vs. Goblins
2 ; Allosaurus Rider ; Creature - Elf Warrior 1+*/1+* ; 5GG ; Special ; Daren Bader ;  Duel Decks: Elves vs. Goblins
3 ; Elvish Eulogist ; Creature ó Elf Shaman 1/1 ; G ; Special ; Ben Thompson ;  Duel Decks: Elves vs. Goblins
4 ; Elvish Harbinger ; Creature ó Elf Druid 1/2 ; 2G ; Special ; Larry MacDougall ;  Duel Decks: Elves vs. Goblins
5 ; Elvish Warrior ; Creature ó Elf Warrior 2/3 ; GG ; Special ; Christopher Moeller ;  Duel Decks: Elves vs. Goblins
6 ; Gempalm Strider ; Creature - Elf 2/2 ; 1G ; Special ; Tim Hildebrandt ;  Duel Decks: Elves vs. Goblins
7 ; Heedless One ; Creature - Elf Avatar */* ; 3G ; Special ; Mark Zug ;  Duel Decks: Elves vs. Goblins
8 ; Imperious Perfect ; Creature ó Elf Warrior 2/2 ; 2G ; Special ; Scott M. Fischer ;  Duel Decks: Elves vs. Goblins
9 ; Llanowar Elves ; Creature ó Elf Druid 1/1 ; G ; Special ; Kev Walker ;  Duel Decks: Elves vs. Goblins
10 ; Lys Alana Huntmaster ; Creature ó Elf Warrior 3/3 ; 2GG ; Special ; Pete Venters ;  Duel Decks: Elves vs. Goblins
11 ; Stonewood Invoker ; Creature - Elf Mutant 2/2 ; 1G ; Special ; Eric Peterson ;  Duel Decks: Elves vs. Goblins
12 ; Sylvan Messenger ; Creature - Elf 2/2 ; 3G ; Special ; Heather Hudson ;  Duel Decks: Elves vs. Goblins
13 ; Timberwatch Elf ; Creature - Elf 1/2 ; 2G ; Special ; Dave Dorman ;  Duel Decks: Elves vs. Goblins
14 ; Voice of the Woods ; Creature - Elf 2/2 ; 3GG ; Special ; Pete Venters ;  Duel Decks: Elves vs. Goblins
15 ; Wellwisher ; Creature - Elf 1/1 ; 1G ; Special ; Christopher Rush ;  Duel Decks: Elves vs. Goblins
16 ; Wirewood Herald ; Creature - Elf 1/1 ; 1G ; Special ; Alex Horley-Orlandelli ;  Duel Decks: Elves vs. Goblins
17 ; Wirewood Symbiote ; Creature - Insect 1/1 ; G ; Special ; Thomas M. Baxa ;  Duel Decks: Elves vs. Goblins
18 ; Wood Elves ; Creature - Elf Scout 1/1 ; 2G ; Special ; Christopher Moeller ;  Duel Decks: Elves vs. Goblins
19 ; Wren's Run Vanquisher ; Creature ó Elf Warrior 3/3 ; 1G ; Special ; Parente ;  Duel Decks: Elves vs. Goblins
20 ; Elvish Promenade ; Tribal Sorcery ó Elf ; 3G ; Special ; Steve Ellis ;  Duel Decks: Elves vs. Goblins
21 ; Giant Growth ; Instant ; G ; Special ; Matt Cavotta ;  Duel Decks: Elves vs. Goblins
22 ; Harmonize ; Sorcery ; 2GG ; Special ; Rob Alexander ;  Duel Decks: Elves vs. Goblins
23 ; Wildsize ; Instant ; 2G ; Special ; Jim Murray ;  Duel Decks: Elves vs. Goblins
24 ; Moonglove Extract ; Artifact ; 3 ; Special ; Terese Nielsen ;  Duel Decks: Elves vs. Goblins
25 ; Slate of Ancestry ; Artifact ; 4 ; Special ; Corey D. Macourek ;  Duel Decks: Elves vs. Goblins
26 ; Wirewood Lodge ; Land ; ; Special ; Anthony S. Waters ;  Duel Decks: Elves vs. Goblins
27 ; Tranquil Thicket ; Land ; ; Special ; Heather Hudson ;  Duel Decks: Elves vs. Goblins
28 ; Forest ; Basic Land ó Forest ; ; Special ; Glen Angus ;  Duel Decks: Elves vs. Goblins
29 ; Forest ; Basic Land ó Forest ; ; Special ; John Avon ;  Duel Decks: Elves vs. Goblins
30 ; Forest ; Basic Land ó Forest ; ; Special ; John Avon ;  Duel Decks: Elves vs. Goblins
31 ; Forest ; Basic Land ó Forest ; ; Special ; Rob Alexander ;  Duel Decks: Elves vs. Goblins
32 ; Siege-Gang Commander ; Creature ó Goblin 2/2 ; 3RR ; Special ; Lucio Parrillo ;  Duel Decks: Elves vs. Goblins
33 ; Akki Coalflinger ; Creature - Goblin Shaman 2/2 ; 1RR ; Special ; Nottsuo ;  Duel Decks: Elves vs. Goblins
34 ; Clickslither ; Creature - Insect 3/3 ; 1RRR ; Special ; Kev Walker ;  Duel Decks: Elves vs. Goblins
35 ; Emberwilde Augur ; Creature ó Goblin Shaman 2/1 ; 1R ; Special ; Brandon Kitkouski ;  Duel Decks: Elves vs. Goblins
36 ; Flamewave Invoker ; Creature ó Goblin Mutant 2/2 ; 2R ; Special ; Dave Dorman ;  Duel Decks: Elves vs. Goblins
37 ; Gempalm Incinerator ; Creature - Goblin 2/1 ; 2R ; Special ; Luca Zontini ;  Duel Decks: Elves vs. Goblins
38 ; Goblin Cohort ; Creature - Goblin Warrior 2/2 ; R ; Special ; Darrell Riche ;  Duel Decks: Elves vs. Goblins
39 ; Goblin Matron ; Creature - Goblin 1/1 ; 2R ; Special ; Daniel Gelon ;  Duel Decks: Elves vs. Goblins
40 ; Goblin Ringleader ; Creature - Goblin 2/2 ; 3R ; Special ; Mark Romanoski ;  Duel Decks: Elves vs. Goblins
41 ; Goblin Sledder ; Creature - Goblin 1/1 ; R ; Special ; Ron Spencer ;  Duel Decks: Elves vs. Goblins
42 ; Goblin Warchief ; Creature - Goblin Warrior 2/2 ; 1RR ; Special ; Greg & Tim Hildebrandt ;  Duel Decks: Elves vs. Goblins
43 ; Ib Halfheart, Goblin Tactician ; Legendary Creature ó Goblin Advisor 3/2 ; 3R ; Special ; Wayne Reynolds ;  Duel Decks: Elves vs. Goblins
44 ; Mogg Fanatic ; Creature ó Goblin 1/1 ; R ; Special ; Brom ;  Duel Decks: Elves vs. Goblins
45 ; Mogg War Marshal ; Creature ó Goblin Warrior 1/1 ; 1R ; Special ; Wayne England ;  Duel Decks: Elves vs. Goblins
46 ; Mudbutton Torchrunner ; Creature ó Goblin Warrior 1/1 ; 2R ; Special ; Steve Ellis ;  Duel Decks: Elves vs. Goblins
47 ; Raging Goblin ; Creature ó Goblin Berserker 1/1 ; R ; Special ; Jeff Miracola ;  Duel Decks: Elves vs. Goblins
48 ; Reckless One ; Creature - Goblin Avatar */* ; 3R ; Special ; Ron Spencer ;  Duel Decks: Elves vs. Goblins
49 ; Skirk Drill Sergeant ; Creature - Goblin 2/1 ; 1R ; Special ; Alex Horley-Orlandelli ;  Duel Decks: Elves vs. Goblins
50 ; Skirk Fire Marshal ; Creature - Goblin 2/2 ; 3RR ; Special ; Greg & Tim Hildebrandt ;  Duel Decks: Elves vs. Goblins
51 ; Skirk Prospector ; Creature - Goblin 1/1 ; R ; Special ; Doug Chaffee ;  Duel Decks: Elves vs. Goblins
52 ; Skirk Shaman ; Creature ó Goblin Shaman 2/2 ; 1RR ; Special ; Chippy ;  Duel Decks: Elves vs. Goblins
53 ; Tar Pitcher ; Creature ó Goblin Shaman 2/2 ; 3R ; Special ; Omar Rayyan ;  Duel Decks: Elves vs. Goblins
54 ; Boggart Shenanigans ; Tribal Enchantment ó Goblin ; 2R ; Special ; Warren Mahy ;  Duel Decks: Elves vs. Goblins
