1 ; Angelic Blessing ; Sorcery ; 2W ; Special ; Mark Zug ;  Starter 2000
54 ; Swamp ; Basic Land ó Swamp ; ; Special ; Dan Frazier ;  Introductory Two-Player Set
55 ; Terror ; Instant ; 1B ; Special ; Ron Spencer ;  Introductory Two-Player Set
56 ; Twiddle ; Instant ; U ; Special ; Rob Alexander ;  Introductory Two-Player Set
57 ; Unsummon ; Instant ; U ; Special ; Douglas Shuler ;  Introductory Two-Player Set
58 ; Untamed Wilds ; Sorcery ; 2G ; Special ; NÈNÈ Thomas ;  Introductory Two-Player Set
59 ; Vampire Bats ; Creature ó Bat 0/1 ; B ; Special ; Anson Maddocks ;  Introductory Two-Player Set
60 ; Wall of Bone ; Creature - Wall 1/4 ; 2B ; Special ; Anson Maddocks ;  Introductory Two-Player Set
61 ; War Mammoth ; Summon Mammoth 3/3 ; 3G ; Special ; Jeff A. Menges ;  Introductory Two-Player Set
62 ; Warp Artifact ; Enchant Artifact ; BB ; Special ; Amy Weber ;  Introductory Two-Player Set
63 ; Weakness ; Enchant Creature ; B ; Special ; Douglas Shuler ;  Introductory Two-Player Set
64 ; Whirling Dervish ; Creature ó Human Monk 1/1 ; GG ; Special ; Susan Van Camp ;  Introductory Two-Player Set
65 ; Winter Blast ; Sorcery ; XG ; Special ; Kaja Foglio ;  Introductory Two-Player Set
66 ; Zephyr Falcon ; Summon Falcon 1/1 ; 1U ; Special ; Heather Hudson ;  Introductory Two-Player Set
67 ; Scryb Sprites ; Summon Faeries 1/1 ; G ; Special ; Amy Weber ;  Introductory Two-Player Set
